user_number,TP,TN,FP,FN
498,0,354,1,0
499,0,354,1,0
500,0,354,1,0
501,0,451,1,0
502,0,354,1,0
503,0,366,1,0
504,0,354,1,0
505,0,354,1,0
506,0,502,1,0
507,0,171,1,0
508,0,355,1,0
509,0,354,1,0
510,0,354,1,0
511,2,206,1,0
512,0,354,1,0
513,0,356,1,0
514,0,354,1,0
515,0,355,1,0
516,0,355,1,0
517,0,356,1,0
518,0,354,1,0
519,0,361,1,0
520,0,251,1,0
521,0,355,1,0
522,0,361,1,0
523,0,354,1,0
524,9,350,0,0
525,0,354,1,0
526,0,354,1,0
527,0,354,1,0
528,0,354,1,0
529,0,354,1,0
530,0,355,1,0
531,0,491,1,0
532,0,355,1,0
533,0,354,1,0
534,0,166,1,0
535,0,353,2,0
536,0,355,1,0
537,0,354,1,0
538,0,354,1,0
539,0,354,1,0
540,0,354,1,0
541,0,211,1,0
542,0,496,1,0
543,0,355,1,0
544,0,355,1,0
545,0,354,1,0
546,0,354,1,0
547,0,354,1,0
548,0,359,1,0
549,0,355,1,0
550,0,354,1,0
551,0,125,1,0
552,0,396,1,0
553,0,353,2,0
554,0,354,1,0
555,0,355,1,0
556,0,355,1,0
557,0,354,1,0
558,0,353,2,0
559,0,356,1,0
560,0,356,1,0
561,0,358,1,0
562,0,354,1,0
563,0,354,1,0
564,0,354,1,0
565,0,355,1,0
566,0,354,1,0
567,0,354,1,0
568,0,355,1,0
569,0,364,1,0
570,0,354,1,0
571,0,310,1,0
572,0,354,1,0
573,0,354,1,0
574,0,354,1,0
575,0,356,1,0
576,0,354,1,0
577,0,354,1,0
578,0,354,1,0
579,0,137,1,0
580,0,240,1,0
581,0,354,1,0
582,0,354,2,0
583,0,362,1,0
584,0,358,1,0
585,2,193,6,0
586,3,288,50,0
587,0,405,1,0
588,0,354,1,0
589,0,356,1,0
590,0,469,1,0
591,0,355,1,0
592,0,354,1,0
593,0,355,1,0
594,0,356,1,0
595,3,147,2,0
596,0,355,1,0
597,0,354,1,0
598,0,354,1,0
599,0,357,1,0
600,0,354,1,0
601,0,353,2,0
602,0,496,1,0
603,0,424,1,0
604,0,134,1,0
605,0,354,1,0
606,1,313,3,0
607,0,354,1,0
608,0,354,1,0
609,0,354,1,0
610,0,354,1,0
611,0,356,1,0
612,0,355,1,0
613,0,476,1,0
614,0,355,1,0
615,0,354,1,0
616,0,354,1,0
617,0,358,1,0
618,0,354,1,0
619,0,38,1,0
620,0,354,1,0
621,0,355,1,0
622,0,354,1,0
623,0,354,1,0
624,0,354,1,0
625,0,364,1,0
626,0,354,1,0
627,0,47,1,0
628,0,355,1,0
629,0,354,1,0
630,0,354,1,0
631,0,354,1,0
632,0,327,1,0
633,0,354,1,0
634,0,71,1,0
635,0,355,1,0
636,0,112,1,0
637,0,354,1,0
638,0,488,1,0
639,0,354,1,0
640,0,356,1,0
641,0,354,1,0
642,0,355,1,0
643,0,356,1,0
644,0,355,1,0
645,0,354,1,0
646,0,354,1,0
647,2,248,2,0
648,0,354,1,0
649,0,354,1,0
650,0,357,1,0
651,0,498,1,0
652,0,356,1,0
653,0,354,1,0
654,0,355,1,0
655,0,250,1,0
656,0,354,1,0
657,8,348,0,0
658,0,354,1,0
659,0,354,1,0
660,0,356,1,0
661,0,354,1,0
662,0,354,1,0
663,0,356,1,0
664,0,355,1,0
665,0,366,1,0
666,0,354,1,0
667,0,354,1,0
668,0,355,1,0
669,0,93,1,0
670,1,144,3,0
671,0,354,1,0
672,0,364,1,0
673,0,357,1,0
674,0,355,1,0
675,0,468,1,0
676,0,354,1,0
677,0,354,1,0
678,0,355,1,0
